Name,M,T,SV,W,LD,OC,ISV
CENTURION DEVASTATOR SQUAD,4,7,2,4,6,2,NaN
INVICTOR TACTICAL WARSUIT,8,8,3,12,6,4,NaN
DREADNOUGHT,6,9,2,8,6,3,NaN
CONTEMPTOR DREADNOUGHT,6,9,2,10,6,3,5
IRONCLAD DREADNOUGHT,6,10,2,8,6,3,NaN
REDEMPTOR DREADNOUGHT,8,10,2,12,6,4,NaN
BRUTALIS DREADNOUGHT,8,10,2,12,6,4,NaN
BALLISTUS DREADNOUGHT,8,10,2,12,6,4,NaN
ASSAULT SQUAD,6,4,3,2,6,1,NaN
ASSAULT SQUAD WITH JUMP PACKS,12,4,3,2,6,1,NaN
INVADER AT V,12,5,3,8,6,2,NaN
SCOUT BIKE SQUAD,12,5,4,3,6,2,NaN
ATTACK BIKE SQUAD,12,5,3,5,6,2,NaN
SUPPRESSOR SQUAD,12,4,3,2,6,1,NaN
INCEPTOR SQUAD,10,6,3,3,6,1,NaN
STORM SPEEDER HAILSTRIKE,14,9,3,11,6,3,NaN
STORM SPEEDER THUNDERSTRIKE,14,9,3,11,6,3,NaN
STORM SPEEDER HAMMERSTRIKE,14,9,3,11,6,3,NaN
LAND SPEEDER,14,7,3,6,6,2,NaN
LAND SPEEDER TORNADO,14,7,3,6,6,2,NaN
LAND SPEEDER TYPHOON,14,7,3,6,6,2,NaN
HELLBLASTER SQUAD,6,4,3,2,6,1,NaN
ELIMINATOR SQUAD,6,4,3,2,6,1,NaN
ERADICATOR SQUAD,5,6,3,3,6,1,NaN
DEVASTATOR SQUAD,6,4,3,2,6,1,NaN
DESOLATION SQUAD,6,4,3,2,6,1,NaN
THUNDERFIRE CANNON,3,6,2,6,6,2,NaN
FIRESTRIKE SERVO-TURRETS,3,6,2,6,6,2,NaN
HUNTER,9,11,3,11,6,3,NaN
STALKER,9,11,3,11,6,3,NaN
WHIRLWIND,10,10,3,11,6,3,NaN
PREDATOR DESTRUCTOR,10,10,3,11,6,3,NaN
PREDATOR ANNIHILATOR,10,10,3,11,6,3,NaN
GLADIATOR LANCER,10,10,3,12,6,3,NaN
GLADIATOR REAPER,10,10,3,12,6,3,NaN
GLADIATOR VALIANT,10,10,3,12,6,3,NaN
VINDICATOR,9,11,2,11,6,3,NaN
LAND RAIDER,10,12,2,16,6,5,NaN
LAND RAIDER CRUSADER,12,12,2,16,6,5,NaN
LAND RAIDER REDEEMER,12,12,2,16,6,5,NaN
REPULSOR,10,12,3,16,6,5,NaN
REPULSOR EXECUTIONER,10,12,3,16,6,5,NaN
RHINO,12,9,3,10,6,2,NaN
RAZORBACK,12,9,3,10,6,2,NaN
IMPULSOR,12,9,3,11,6,2,NaN
DROP POD,0,7,3,8,6,2,NaN
LAND SPEEDER STORM,14,7,4,7,6,1,NaN
HAMMERFALL BUNKER,0,12,2,14,6,0,NaN
CAPTAIN SICARIUS,6,4,2,5,6,1,4
CHAPLAIN CASSIUS,6,4,3,4,5,1,4
CHIEF LIBRARIAN TIGURIUS,6,4,3,4,6,1,4
SERGEANT CHRONUS,6,4,2,3,6,1,NaN
SERGEANT TELION,6,4,4,3,6,1,NaN
TYRANNIC WAR VETERANS,6,4,3,2,6,1,NaN
URIEL VENTRIS,6,4,3,5,6,1,4
ROBOUTE GUILLIMAN,8,9,2,10,5,4,4
DARNATH LYSANDER,5,5,2,6,6,1,4
TOR GARADON,5,6,3,6,6,1,4
PEDRO KANTOR,6,4,2,5,6,1,4
IRON FATHER FEIRROS,5,6,2,6,6,1,NaN
KAYVAAN SHRIKE,12,4,3,5,6,1,4
ADRAX AGATONE,6,4,2,5,6,1,4
VULKAN HE’STAN,6,4,2,5,6,1,4
KOR’SARRO KHAN,6,4,3,5,6,1,4
